date,time,close
30-12-2016,11:30:00,8169.3501
30-12-2016,12:30:00,8174.3501
30-12-2016,13:30:00,8172.6499
30-12-2016,14:30:00,8176.7998
30-12-2016,15:30:00,8174.25
02-01-2017,09:30:00,8150.8999
02-01-2017,10:30:00,8157.4502
02-01-2017,11:30:00,8146.0498
02-01-2017,12:30:00,8148.6001
02-01-2017,13:30:00,8170.2002
02-01-2017,14:30:00,8192.2002
02-01-2017,15:30:00,8179.2002
03-01-2017,09:30:00,8160.7998
03-01-2017,10:30:00,8186.4502
03-01-2017,11:30:00,8212
03-01-2017,12:30:00,8210.5
03-01-2017,13:30:00,8193.5
03-01-2017,14:30:00,8208.84961
03-01-2017,15:30:00,8189.0498
04-01-2017,09:30:00,8203.90039
04-01-2017,10:30:00,8211.7998
04-01-2017,11:30:00,8208.59961
04-01-2017,12:30:00,8193.7002
04-01-2017,13:30:00,8205.84961
04-01-2017,14:30:00,8199.90039
04-01-2017,15:30:00,8196.34961
05-01-2017,09:30:00,8233.59961
05-01-2017,10:30:00,8244.2002
05-01-2017,11:30:00,8258.25
05-01-2017,12:30:00,8261.2998
05-01-2017,13:30:00,8262.40039
05-01-2017,14:30:00,8258.7998
05-01-2017,15:30:00,8270.5
06-01-2017,09:30:00,8300.7998
06-01-2017,10:30:00,8292.84961
06-01-2017,11:30:00,8272.5498
06-01-2017,12:30:00,8272.7002
06-01-2017,13:30:00,8265.5498
06-01-2017,14:30:00,8267.9502
06-01-2017,15:30:00,8248.2002
09-01-2017,09:30:00,8257.65039
09-01-2017,10:30:00,8242.5498
09-01-2017,11:30:00,8245.65039
09-01-2017,12:30:00,8243.65039
09-01-2017,13:30:00,8240.34961
09-01-2017,14:30:00,8240.59961
09-01-2017,15:30:00,8234.5498
10-01-2017,09:30:00,8283.5498
10-01-2017,10:30:00,8276.90039
10-01-2017,11:30:00,8268.09961
10-01-2017,12:30:00,8271.2998
10-01-2017,13:30:00,8284.09961
10-01-2017,14:30:00,8278.34961
10-01-2017,15:30:00,8290.2998
11-01-2017,09:30:00,8330.90039
11-01-2017,10:30:00,8333.0498
11-01-2017,11:30:00,8341.2002
11-01-2017,12:30:00,8351.9502
11-01-2017,13:30:00,8365.40039
11-01-2017,14:30:00,8377
11-01-2017,15:30:00,8374.2998
12-01-2017,09:30:00,8401.0498
12-01-2017,10:30:00,8398.34961
12-01-2017,11:30:00,8402.59961
12-01-2017,12:30:00,8397.09961
12-01-2017,13:30:00,8404.2998
12-01-2017,14:30:00,8391.65039
12-01-2017,15:30:00,8409.15039
13-01-2017,09:30:00,8421.5498
13-01-2017,10:30:00,8382.09961
13-01-2017,11:30:00,8401.4502
13-01-2017,12:30:00,8394.34961
13-01-2017,13:30:00,8392.84961
13-01-2017,14:30:00,8384.84961
13-01-2017,15:30:00,8397.7998
16-01-2017,09:30:00,8390.25
16-01-2017,10:30:00,8401.2998
16-01-2017,11:30:00,8401.15039
16-01-2017,12:30:00,8401.4502
16-01-2017,13:30:00,8415.84961
16-01-2017,14:30:00,8423.25
16-01-2017,15:30:00,8418.7002
17-01-2017,09:30:00,8433.75
17-01-2017,10:30:00,8414.34961
17-01-2017,11:30:00,8400.0498
17-01-2017,12:30:00,8391.09961
17-01-2017,13:30:00,8394.84961
17-01-2017,14:30:00,8384.34961
17-01-2017,15:30:00,8388.7998
18-01-2017,09:30:00,8435.15039
18-01-2017,10:30:00,8458.09961
18-01-2017,11:30:00,8447.84961
18-01-2017,12:30:00,8421.2998
18-01-2017,13:30:00,8418.2002
18-01-2017,14:30:00,8404.4502
18-01-2017,15:30:00,8413.75
19-01-2017,09:30:00,8424.40039
19-01-2017,10:30:00,8422.7998
19-01-2017,11:30:00,8434.0498
19-01-2017,12:30:00,8436.65039
19-01-2017,13:30:00,8430.5
19-01-2017,14:30:00,8417.40039
19-01-2017,15:30:00,8431.2002
20-01-2017,09:30:00,8412.84961
20-01-2017,10:30:00,8402.25
20-01-2017,11:30:00,8406.2998
20-01-2017,12:30:00,8408.0498
20-01-2017,13:30:00,8364.7998
20-01-2017,14:30:00,8350.2998
20-01-2017,15:30:00,8343.84961
23-01-2017,09:30:00,8348.09961
23-01-2017,10:30:00,8383.5498
23-01-2017,11:30:00,8392.34961
23-01-2017,12:30:00,8372.75
23-01-2017,13:30:00,8360.4502
23-01-2017,14:30:00,8366.0498
23-01-2017,15:30:00,8398
24-01-2017,09:30:00,8422.75
24-01-2017,10:30:00,8431.75
24-01-2017,11:30:00,8434.5498
24-01-2017,12:30:00,8437.5
24-01-2017,13:30:00,8436.2998
24-01-2017,14:30:00,8465.15039
24-01-2017,15:30:00,8476.75
25-01-2017,09:30:00,8511.5498
25-01-2017,10:30:00,8515.40039
25-01-2017,11:30:00,8521.5
25-01-2017,12:30:00,8524.90039
25-01-2017,13:30:00,8546.75
25-01-2017,14:30:00,8556.65039
25-01-2017,15:30:00,8597.5
27-01-2017,09:30:00,8644.15039
27-01-2017,10:30:00,8656.40039
27-01-2017,11:30:00,8667.09961
27-01-2017,12:30:00,8650.90039
27-01-2017,13:30:00,8650.40039
27-01-2017,14:30:00,8653.40039
27-01-2017,15:30:00,8641.9502
30-01-2017,09:30:00,8644.09961
30-01-2017,10:30:00,8631.2998
30-01-2017,11:30:00,8632.2998
30-01-2017,12:30:00,8634
30-01-2017,13:30:00,8642.40039
30-01-2017,14:30:00,8634.4502
30-01-2017,15:30:00,8633.7002
31-01-2017,09:30:00,8594.09961
31-01-2017,10:30:00,8589.2002
31-01-2017,11:30:00,8581.5
31-01-2017,12:30:00,8567.84961
31-01-2017,13:30:00,8582.4502
31-01-2017,14:30:00,8582.84961
31-01-2017,15:30:00,8556.5498
01-02-2017,09:30:00,8569.59961
01-02-2017,10:30:00,8553.90039
01-02-2017,11:30:00,8577.9502
01-02-2017,12:30:00,8546.65039
01-02-2017,13:30:00,8642.40039
01-02-2017,14:30:00,8682.75
01-02-2017,15:30:00,8715.5
02-02-2017,09:30:00,8696.15039
02-02-2017,10:30:00,8715.65039
02-02-2017,11:30:00,8701.5
02-02-2017,12:30:00,8704.84961
02-02-2017,13:30:00,8713.5
02-02-2017,14:30:00,8741.2002
02-02-2017,15:30:00,8722.2998
03-02-2017,09:30:00,8732.4502
03-02-2017,10:30:00,8721.4502
03-02-2017,11:30:00,8722.9502
