date,daily_mtm_per_lot,slippage,Portdolio
16-01-2017,1488.75,-300,"? 14,34,868.75"
17-01-2017,1991.25,-300,"? 14,36,560.00"
18-01-2017,-4136.25,-300,"? 14,32,123.75"
19-01-2017,438.75,-300,"? 14,32,262.50"
20-01-2017,4530,-300,"? 14,36,492.50"
23-01-2017,510,-300,"? 14,36,702.50"
24-01-2017,3180,-300,"? 14,39,582.50"
25-01-2017,6022.5,-300,"? 14,45,305.00"
27-01-2017,-881.25,-300,"? 14,44,123.75"
30-01-2017,-768.75,-300,"? 14,43,055.00"
31-01-2017,1871.25,-300,"? 14,44,626.25"
01-02-2017,8958.75,-300,"? 14,53,285.00"
02-02-2017,-2066.25,-300,"? 14,50,918.75"
03-02-2017,-1188.75,-300,"? 14,49,430.00"
06-02-2017,-2265,-300,"? 14,46,865.00"
07-02-2017,273.75,-300,"? 14,46,838.75"
08-02-2017,-1638.75,-300,"? 14,44,900.00"
